INFO:__main__:Running stego_core.py
INFO:__main__:Loading colorwheel.png
DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 41 65536
INFO:__main__:Converting to RGBAPixelArray
INFO:__main__:Encoding message
DEBUG:__main__:Column 0: offset 0
DEBUG:__main__:Column 0: start index 0
DEBUG:__main__: [c0] Pixel 0: 0
DEBUG:__main__: [c0] Pixel 37: 1
DEBUG:__main__: [c0] Pixel 74: 0
DEBUG:__main__: [c0] Pixel 111: 1
DEBUG:__main__: [c0] Pixel 148: 0
DEBUG:__main__: [c0] Pixel 185: 1
DEBUG:__main__: [c0] Pixel 222: 0
DEBUG:__main__: [c0] Pixel 259: 0
DEBUG:__main__: [c0] Pixel 296: 0
DEBUG:__main__: [c0] Pixel 333: 1
DEBUG:__main__: [c0] Pixel 370: 1
DEBUG:__main__: [c0] Pixel 407: 0
DEBUG:__main__: [c0] Pixel 444: 1
DEBUG:__main__: [c0] Pixel 481: 0
DEBUG:__main__: [c0] Pixel 518: 0
DEBUG:__main__: [c0] Pixel 555: 0
DEBUG:__main__: [c0] Pixel 592: 0
DEBUG:__main__: [c0] Pixel 629: 1
DEBUG:__main__: [c0] Pixel 666: 1
DEBUG:__main__: [c0] Pixel 703: 0
DEBUG:__main__:Finished column 0 with offset 28
DEBUG:__main__:Column 1: offset 28
DEBUG:__main__:Column 1: start index 9
DEBUG:__main__: [c1] Pixel 9: 1
DEBUG:__main__: [c1] Pixel 46: 0
DEBUG:__main__: [c1] Pixel 83: 0
DEBUG:__main__: [c1] Pixel 120: 1
DEBUG:__main__: [c1] Pixel 157: 0
DEBUG:__main__: [c1] Pixel 194: 1
DEBUG:__main__: [c1] Pixel 231: 1
DEBUG:__main__: [c1] Pixel 268: 1
DEBUG:__main__: [c1] Pixel 305: 0
DEBUG:__main__: [c1] Pixel 342: 0
DEBUG:__main__: [c1] Pixel 379: 1
DEBUG:__main__: [c1] Pixel 416: 1
DEBUG:__main__: [c1] Pixel 453: 0
DEBUG:__main__: [c1] Pixel 490: 0
DEBUG:__main__: [c1] Pixel 527: 1
DEBUG:__main__: [c1] Pixel 564: 0
DEBUG:__main__: [c1] Pixel 601: 0
DEBUG:__main__: [c1] Pixel 638: 0
DEBUG:__main__: [c1] Pixel 675: 0
DEBUG:__main__: [c1] Pixel 712: 0
DEBUG:__main__: [c1] Pixel 749: 0
DEBUG:__main__:Finished column 1 with offset 19
DEBUG:__main__:Column 2: offset 19
DEBUG:__main__:Column 2: start index 18
DEBUG:__main__: [c2] Pixel 18: 1
DEBUG:__main__: [c2] Pixel 55: 1
DEBUG:__main__: [c2] Pixel 92: 0
DEBUG:__main__: [c2] Pixel 129: 1
DEBUG:__main__: [c2] Pixel 166: 0
DEBUG:__main__: [c2] Pixel 203: 0
DEBUG:__main__: [c2] Pixel 240: 1
DEBUG:__main__: [c2] Pixel 277: 0
DEBUG:__main__: [c2] Pixel 314: 1
DEBUG:__main__: [c2] Pixel 351: 1
DEBUG:__main__: [c2] Pixel 388: 1
DEBUG:__main__: [c2] Pixel 425: 0
DEBUG:__main__: [c2] Pixel 462: 0
DEBUG:__main__: [c2] Pixel 499: 1
DEBUG:__main__: [c2] Pixel 536: 1
DEBUG:__main__: [c2] Pixel 573: 0
DEBUG:__main__: [c2] Pixel 610: 0
DEBUG:__main__: [c2] Pixel 647: 1
DEBUG:__main__: [c2] Pixel 684: 0
DEBUG:__main__: [c2] Pixel 721: 0
DEBUG:__main__:Finished column 2 with offset 10
DEBUG:__main__:Column 3: offset 10
DEBUG:__main__:Column 3: start index 27
DEBUG:__main__: [c3] Pixel 27: 0
DEBUG:__main__: [c3] Pixel 64: 0
DEBUG:__main__: [c3] Pixel 101: 0
DEBUG:__main__: [c3] Pixel 138: 0
DEBUG:__main__: [c3] Pixel 175: 1
DEBUG:__main__: [c3] Pixel 212: 1
DEBUG:__main__: [c3] Pixel 249: 0
DEBUG:__main__: [c3] Pixel 286: 0
DEBUG:__main__: [c3] Pixel 323: 0
DEBUG:__main__: [c3] Pixel 360: 0
DEBUG:__main__: [c3] Pixel 397: 1
DEBUG:__main__: [c3] Pixel 434: 0
DEBUG:__main__: [c3] Pixel 471: 0
DEBUG:__main__: [c3] Pixel 508: 1
DEBUG:__main__: [c3] Pixel 545: 0
DEBUG:__main__: [c3] Pixel 582: 0
DEBUG:__main__: [c3] Pixel 619: 0
DEBUG:__main__: [c3] Pixel 656: 0
DEBUG:__main__: [c3] Pixel 693: 0
DEBUG:__main__: [c3] Pixel 730: 0
DEBUG:__main__:Finished column 3 with offset 1
DEBUG:__main__:Column 4: offset 1
DEBUG:__main__:Column 4: start index 36
DEBUG:__main__: [c4] Pixel 36: 1
DEBUG:__main__: [c4] Pixel 73: 1
DEBUG:__main__: [c4] Pixel 110: 1
DEBUG:__main__: [c4] Pixel 147: 0
DEBUG:__main__: [c4] Pixel 184: 1
DEBUG:__main__: [c4] Pixel 221: 0
DEBUG:__main__: [c4] Pixel 258: 0
DEBUG:__main__: [c4] Pixel 295: 0
DEBUG:__main__: [c4] Pixel 332: 1
DEBUG:__main__: [c4] Pixel 369: 1
DEBUG:__main__: [c4] Pixel 406: 0
DEBUG:__main__: [c4] Pixel 443: 0
DEBUG:__main__: [c4] Pixel 480: 1
DEBUG:__main__: [c4] Pixel 517: 0
DEBUG:__main__: [c4] Pixel 554: 1
DEBUG:__main__: [c4] Pixel 591: 0
DEBUG:__main__: [c4] Pixel 628: 1
DEBUG:__main__: [c4] Pixel 665: 1
DEBUG:__main__: [c4] Pixel 702: 1
DEBUG:__main__:Finished column 4 with offset 29
DEBUG:__main__:Column 5: offset 29
DEBUG:__main__:Column 5: start index 8
DEBUG:__main__: [c5] Pixel 8: 0
DEBUG:__main__: [c5] Pixel 45: 0
DEBUG:__main__: [c5] Pixel 82: 1
DEBUG:__main__: [c5] Pixel 119: 1
DEBUG:__main__: [c5] Pixel 156: 0
DEBUG:__main__: [c5] Pixel 193: 1
DEBUG:__main__: [c5] Pixel 230: 1
DEBUG:__main__: [c5] Pixel 267: 1
DEBUG:__main__: [c5] Pixel 304: 0
DEBUG:__main__: [c5] Pixel 341: 1
DEBUG:__main__: [c5] Pixel 378: 0
DEBUG:__main__: [c5] Pixel 415: 0
DEBUG:__main__: [c5] Pixel 452: 0
DEBUG:__main__: [c5] Pixel 489: 0
DEBUG:__main__: [c5] Pixel 526: 1
DEBUG:__main__: [c5] Pixel 563: 0
DEBUG:__main__: [c5] Pixel 600: 1
DEBUG:__main__: [c5] Pixel 637: 1
DEBUG:__main__: [c5] Pixel 674: 1
DEBUG:__main__: [c5] Pixel 711: 0
DEBUG:__main__: [c5] Pixel 748: 0
DEBUG:__main__:Finished column 5 with offset 20
DEBUG:__main__:Column 6: offset 20
DEBUG:__main__:Column 6: start index 17
DEBUG:__main__: [c6] Pixel 17: 0
DEBUG:__main__: [c6] Pixel 54: 1
DEBUG:__main__: [c6] Pixel 91: 0
DEBUG:__main__: [c6] Pixel 128: 0
DEBUG:__main__: [c6] Pixel 165: 0
DEBUG:__main__: [c6] Pixel 202: 0
DEBUG:__main__: [c6] Pixel 239: 0
DEBUG:__main__: [c6] Pixel 276: 0
DEBUG:__main__: [c6] Pixel 313: 1
DEBUG:__main__: [c6] Pixel 350: 0
DEBUG:__main__: [c6] Pixel 387: 1
DEBUG:__main__: [c6] Pixel 424: 0
DEBUG:__main__: [c6] Pixel 461: 1
DEBUG:__main__: [c6] Pixel 498: 0
DEBUG:__main__: [c6] Pixel 535: 0
DEBUG:__main__: [c6] Pixel 572: 0
DEBUG:__main__: [c6] Pixel 609: 1
DEBUG:__main__: [c6] Pixel 646: 1
DEBUG:__main__: [c6] Pixel 683: 0
DEBUG:__main__: [c6] Pixel 720: 1
DEBUG:__main__:Finished column 6 with offset 11
DEBUG:__main__:Column 7: offset 11
DEBUG:__main__:Column 7: start index 26
DEBUG:__main__: [c7] Pixel 26: 0
DEBUG:__main__: [c7] Pixel 63: 0
DEBUG:__main__: [c7] Pixel 100: 0
DEBUG:__main__: [c7] Pixel 137: 0
DEBUG:__main__: [c7] Pixel 174: 1
DEBUG:__main__: [c7] Pixel 211: 1
DEBUG:__main__: [c7] Pixel 248: 0
DEBUG:__main__: [c7] Pixel 285: 0
DEBUG:__main__: [c7] Pixel 322: 1
DEBUG:__main__: [c7] Pixel 359: 0
DEBUG:__main__: [c7] Pixel 396: 1
DEBUG:__main__: [c7] Pixel 433: 0
DEBUG:__main__: [c7] Pixel 470: 0
DEBUG:__main__: [c7] Pixel 507: 1
DEBUG:__main__: [c7] Pixel 544: 0
DEBUG:__main__: [c7] Pixel 581: 0
DEBUG:__main__: [c7] Pixel 618: 0
DEBUG:__main__: [c7] Pixel 655: 0
DEBUG:__main__: [c7] Pixel 692: 0
DEBUG:__main__: [c7] Pixel 729: 0
DEBUG:__main__:Finished column 7 with offset 2
DEBUG:__main__:Column 8: offset 2
DEBUG:__main__:Column 8: start index 35
DEBUG:__main__: [c8] Pixel 35: 1
DEBUG:__main__: [c8] Pixel 72: 1
DEBUG:__main__: [c8] Pixel 109: 1
DEBUG:__main__: [c8] Pixel 146: 0
DEBUG:__main__: [c8] Pixel 183: 0
DEBUG:__main__: [c8] Pixel 220: 0
DEBUG:__main__: [c8] Pixel 257: 1
DEBUG:__main__: [c8] Pixel 294: 0
DEBUG:__main__: [c8] Pixel 331: 1
DEBUG:__main__: [c8] Pixel 368: 1
DEBUG:__main__: [c8] Pixel 405: 1
DEBUG:__main__: [c8] Pixel 442: 0
DEBUG:__main__: [c8] Pixel 479: 1
DEBUG:__main__: [c8] Pixel 516: 0
DEBUG:__main__: [c8] Pixel 553: 1
DEBUG:__main__: [c8] Pixel 590: 0
DEBUG:__main__: [c8] Pixel 627: 1
DEBUG:__main__: [c8] Pixel 664: 1
